A2JW67OY8U6HHK, 0827229534, 5, 10, 9, 2000-7-28, 396585, Patterns of Preaching: A Sermon Sampler, 5, Book, 5, 0804215715 156101074X 0687023955 0687074231 082721619X
A2VE83MZF98ITY, 0827229534, 5, 6, 5, 2003-12-14, 396585, Patterns of Preaching: A Sermon Sampler, 5, Book, 5, 0804215715 156101074X 0687023955 0687074231 082721619X
A11NCO6YTE4BTJ, 0738700797, 5, 5, 4, 2001-12-16, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
A9CQ3PLRNIR83, 0738700797, 4, 5, 5, 2002-1-7, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
A13SG9ACZ9O5IM, 0738700797, 5, 8, 8, 2002-1-24, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
A1BDAI6VEYMAZA, 0738700797, 5, 4, 4, 2002-1-28, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
A2P6KAWXJ16234, 0738700797, 4, 16, 16, 2002-2-6, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
AMACWC3M7PQFR, 0738700797, 4, 5, 5, 2002-2-14, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
A3GO7UV9XX14D8, 0738700797, 4, 6, 6, 2002-3-23, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
A1GIL64QK68WKL, 0738700797, 5, 8, 8, 2002-5-23, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
AEOBOF2ONQJWV, 0738700797, 5, 8, 5, 2003-2-25, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
A3IGHTES8ME05L, 0738700797, 5, 5, 5, 2003-11-25, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
A1CP26N8RHYVVO, 0738700797, 1, 13, 9, 2004-2-11, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
ANEIANH0WAT9D, 0738700797, 5, 1, 1, 2005-2-7, 168596, Candlemas: Feast of Flames, 4.5, Book, 5, 0738700827 1567184960 1567182836 0738700525 0738700940
